V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,generationMean,generationSD
0.0309107,0.0308637,0.0308368,0.0308532,0.030359,0.031847,0.0320325,0.0309535,0.0316046,0.031276,h0.1.spHuman,129,0.0311537,0.00052458718372958
0.0308933,0.0308591,0.0307906,0.0308466,0.030347,0.0318324,0.0320148,0.0309235,0.031628,0.0312656,h0.1.spHuman,130,0.03114009,0.000529387796211604
0.0308835,0.0308514,0.0307597,0.0308296,0.030329,0.0318672,0.0319966,0.0309344,0.0315897,0.0312346,h0.1.spHuman,131,0.03112757,0.000533569574865567
0.0308808,0.030859,0.0307847,0.0308118,0.0303034,0.0318831,0.0319933,0.0309411,0.0316012,0.0312346,h0.1.spHuman,132,0.0311293,0.00053958707875148
0.0308806,0.0308437,0.0307791,0.0308067,0.0302738,0.0318812,0.0319705,0.0309435,0.0316064,0.0312119,h0.1.spHuman,133,0.03111974,0.000541913894759428
0.0308708,0.0308354,0.0307401,0.0308423,0.0302631,0.0318685,0.0319773,0.0309195,0.0316114,0.0311952,h0.1.spHuman,134,0.03111236,0.000545769365615591
0.0308417,0.030841,0.0307565,0.03086,0.0302429,0.0318643,0.0319763,0.0308996,0.0316124,0.0311857,h0.1.spHuman,135,0.03110804,0.000548278186081968
0.0308518,0.0308338,0.0307542,0.0308302,0.0302452,0.0318933,0.0319766,0.0309192,0.0316352,0.0311567,h0.1.spHuman,136,0.03110962,0.000555246489408083
0.0308452,0.0308335,0.0307655,0.0308231,0.0302221,0.0318832,0.0319709,0.0309252,0.0316328,0.0311826,h0.1.spHuman,137,0.03110841,0.000556540202101839
0.0308477,0.030812,0.0307391,0.030825,0.0302147,0.0318937,0.0319799,0.0309233,0.0316255,0.0311766,h0.1.spHuman,138,0.03110375,0.000563078143876239
0.0308497,0.030786,0.030742,0.0308311,0.0301914,0.0318808,0.0319645,0.0309007,0.03163,0.0311651,h0.1.spHuman,139,0.03109413,0.000564583827158456
0.0308661,0.0307555,0.0307439,0.0308158,0.0301968,0.0318927,0.0319572,0.0308947,0.0316209,0.0311426,h0.1.spHuman,140,0.03108862,0.000565086649796098
0.0308411,0.0307142,0.0307414,0.0308306,0.0302007,0.0318638,0.0319518,0.0308839,0.0316184,0.0311538,h0.1.spHuman,141,0.03107997,0.000562638184606926
0.0308644,0.0306794,0.0307342,0.0308402,0.0301925,0.0318476,0.0319629,0.0308788,0.0315972,0.0311278,h0.1.spHuman,142,0.0310725,0.000562743620330095
0.0308347,0.0306641,0.0307251,0.0308713,0.0301977,0.0318293,0.0319595,0.0308835,0.0315695,0.0311313,h0.1.spHuman,143,0.0310666,0.000557288796067373
0.0308342,0.0306654,0.0307273,0.030846,0.0301918,0.0318165,0.0319554,0.0308684,0.0315653,0.0311437,h0.1.spHuman,144,0.0310614,0.000556777382203456
0.0308179,0.0306646,0.0307152,0.0308389,0.0301578,0.0318104,0.0319187,0.0308645,0.0315652,0.0311453,h0.1.spHuman,145,0.03104985,0.000557459481836026
0.0307941,0.030648,0.0307252,0.0308332,0.0301383,0.0317959,0.0319053,0.0308638,0.031554,0.0311618,h0.1.spHuman,146,0.03104196,0.000557696367409921
0.030784,0.0306245,0.0306989,0.0308422,0.030134,0.0317676,0.0318823,0.0308314,0.0315311,0.0311478,h0.1.spHuman,147,0.03102438,0.000552492485217874
0.030784,0.0305993,0.0306888,0.0308617,0.0301364,0.0317698,0.0318833,0.030806,0.0315392,0.031134,h0.1.spHuman,148,0.03102025,0.000556180698554387
0.0307397,0.0306018,0.030666,0.0308643,0.0301345,0.0317638,0.0318745,0.0307985,0.0315375,0.0311266,h0.1.spHuman,149,0.03101072,0.00055756490763159
0.0307094,0.0305922,0.0306825,0.0308534,0.0301124,0.031764,0.0318623,0.0308027,0.031546,0.031149,h0.1.spHuman,150,0.03100739,0.000562419004440244
0.0307238,0.0306,0.0306578,0.0308431,0.0300778,0.0317631,0.0318537,0.0308038,0.0315222,0.0311386,h0.1.spHuman,151,0.03099839,0.000564697987029843
0.0307079,0.0305788,0.0306556,0.0308641,0.0300642,0.0317524,0.031852,0.0308285,0.0315107,0.0311144,h0.1.spHuman,152,0.03099286,0.000564736686331682
0.0307014,0.0305597,0.0306609,0.0308495,0.0300444,0.0317772,0.031857,0.0308039,0.03148,0.0311065,h0.1.spHuman,153,0.03098405,0.000572516738716967
0.0307059,0.030554,0.0306644,0.0308644,0.0300324,0.0317524,0.0318576,0.0307894,0.0314741,0.0310876,h0.1.spHuman,154,0.03097822,0.000570215559240538
0.0306855,0.0305366,0.0306433,0.0308588,0.0300249,0.0317492,0.0318563,0.0307922,0.0314816,0.0310596,h0.1.spHuman,155,0.0309688,0.000574952137138387
0.0306616,0.0305385,0.0306328,0.0308438,0.0300506,0.0317428,0.0318531,0.0307847,0.0314584,0.0310756,h0.1.spHuman,156,0.03096419,0.000569307508098899
0.0306413,0.0305436,0.030597,0.0308441,0.0300279,0.0317367,0.031825,0.0307898,0.0314658,0.0310593,h0.1.spHuman,157,0.03095305,0.00057102616256467
0.0306484,0.0305343,0.0305737,0.0308225,0.0300283,0.0317288,0.0318019,0.0307472,0.0314604,0.0310538,h0.1.spHuman,158,0.03093993,0.00056909453627866
0.0306306,0.0305304,0.0305792,0.0308276,0.0300281,0.0317093,0.0317908,0.0307614,0.0314622,0.0310528,h0.1.spHuman,159,0.03093724,0.000564780598895615
0.0306468,0.0305512,0.0305665,0.0308263,0.0300273,0.0316784,0.0317536,0.0307486,0.0314271,0.0310514,h0.1.spHuman,160,0.03092772,0.000549197877312399
